indeks,pendidikan,keluarga,makanan,perayaan,alam
bentus,0.35609442,0.13669062,0.421602,0.29292923,0.3254839
benua,0.29537144,0.19166185,0.27618426,0.2742683,0.5750953
benuang,0.35652465,0.24825998,0.27141502,0.381781,0.5558617
benuaron,0.30822864,0.2028031,0.24269262,0.24086346,0.5434817
benulung,0.25072324,0.17769927,0.28921023,0.29070765,0.467244
benum,0.42502534,0.23461002,0.36276782,0.35041547,0.44714773
benur,0.40153885,0.19232747,0.3378474,0.38391975,0.4888173
benyai,0.491255,0.28640816,0.38201082,0.4339842,0.5704026
benyek,0.49698365,0.25433105,0.29411334,0.35530668,0.4645327
benyoh,0.45651048,0.25278407,0.28475714,0.36671436,0.48051107
benyot,0.5007366,0.26865795,0.310101,0.40007597,0.55373055
benzedrin,0.23430058,-0.016009042,0.37302727,0.145428,0.18619382
benzena,0.29516077,0.103706025,0.34154707,0.1934947,0.2568596
benzil,0.23904833,0.04423708,0.2965544,0.17185986,0.22998415
benzoat,0.25219685,0.05505966,0.3372848,0.18824042,0.29232162
benzoil,0.22233391,0.051636036,0.30609077,0.24811293,0.29439867
benzoin,0.28370795,0.05776685,0.3470797,0.30758637,0.31572694
benzol,0.26682332,0.079382256,0.29131562,0.19061477,0.24777734
beo,0.44356406,0.2440542,0.35820997,0.29787487,0.4842174
beol,0.36523613,0.2253803,0.47235242,0.40482485,0.48172224
bera,0.56199014,0.29317784,0.35907853,0.35168275,0.55197597
berabe,0.648631,0.27160007,0.43943474,0.38524163,0.62094206
beragan,0.37795347,0.28154847,0.33278924,0.3982377,0.6182349
berahi,0.44689295,0.3697328,0.39628467,0.39722013,0.66321063
berai,0.3809513,0.3040717,0.40155905,0.36666924,0.6007757
beraja,0.50033915,0.31100023,0.36635667,0.39766484,0.5265306
berak,0.44637382,0.31057346,0.45084077,0.40666914,0.4985482
berakah,0.42353725,0.28155243,0.3285901,0.43304592,0.51433337
beraksa,0.31457257,0.23283693,0.22405809,0.40997294,0.44180298
beram,0.43747336,0.32302096,0.31859702,0.42761832,0.6704255
berambang,0.5476842,0.34809175,0.38175625,0.48873353,0.672377
beramin,0.457067,0.22048697,0.41864428,0.3331688,0.45144716
beranang,0.21931438,0.17491688,0.226581,0.28849977,0.5278301
beranda,0.5170913,0.24141324,0.40673205,0.36512488,0.55734
berandal,0.37041146,0.2255368,0.36622632,0.3529481,0.59262764
berandang,0.22477463,0.2002953,0.29184082,0.39727622,0.5258641
berang,0.26735246,0.19521755,0.27452868,0.27411807,0.4938079
berang-berang,0.25561148,0.17913245,0.2535923,0.2430121,0.46781325
berangai,0.34964728,0.15983522,0.27554965,0.2479722,0.58740103
berangan,0.29550833,0.21901342,0.28008282,0.38208848,0.6039616
berangas,0.26639557,0.19264022,0.31484973,0.31870058,0.63341117
berangasan,0.30509722,0.10929805,0.25807858,0.29715887,0.5565642
berangga,0.6134428,0.29267815,0.44941878,0.4249336,0.5820164
berangkal,0.3619236,0.21706891,0.2357473,0.35779667,0.5274542
berangkat,0.44743195,0.22245753,0.2591114,0.27520534,0.348294
berangsang,0.23716912,0.19842285,0.30345437,0.28132856,0.52844596
berangta,0.25972712,0.18372756,0.25342718,0.25557822,0.5512079
berangus,0.3193145,0.24194719,0.30387715,0.2842175,0.5947268
berani,0.5661687,0.20411025,0.3500026,0.39432052,0.48707864
beranta,0.54687345,0.23725474,0.34259677,0.3865654,0.5632813
berantak,0.46482152,0.2609494,0.30311203,0.45854914,0.51279604
berantas,0.5226558,0.22305915,0.21935673,0.3762217,0.38441086
berapa,0.52707493,0.22145085,0.29109588,0.25259474,0.3308404
beras,0.33834815,0.27813655,0.66812825,0.27425408,0.3992738
beras-beras,0.27159438,0.26866138,0.6301757,0.22082815,0.3060277
berat,0.5184394,0.30210602,0.47797358,0.3161074,0.45776665
bercak,0.3778959,0.20402196,0.45056623,0.3852054,0.6046441
berdikari,0.44471857,0.23428658,0.27798465,0.3234168,0.51209897
berdus,0.37209076,0.20315257,0.34692433,0.39944005,0.50907725
berebes,0.24234772,0.1813628,0.42244986,0.38805637,0.52413917
beredel,0.29881376,0.25812143,0.3786344,0.36352134,0.46800008
berek-berek,0.3386942,0.22244081,0.34510416,0.22864103,0.44985974
beremban,0.32172394,0.25146878,0.23086432,0.4289041,0.57932353
berembang,0.31987727,0.22730407,0.33558547,0.28760105,0.6307351
berendeng,0.3127818,0.22592217,0.32118964,0.37704793,0.5241115
bereng-bereng,0.2581374,0.25067797,0.2907563,0.27358064,0.48453355
berengau,0.2611447,0.2542483,0.33426535,0.3667526,0.555742
berenggil,0.37010777,0.21558088,0.3181467,0.3480882,0.47027782
berengos,0.39440113,0.31460828,0.29256243,0.355268,0.4745644
berengsek,0.45506918,0.16879924,0.35841274,0.21644355,0.38350853
berengut,0.30363196,0.17407987,0.35101,0.3281265,0.47210628
berentang,0.375399,0.15673137,0.29591477,0.35064182,0.38864002
bereo,0.27797982,0.23645164,0.25577503,0.3390679,0.39403757
bererot,0.20804667,0.17858374,0.16984296,0.2770567,0.3228729
beres,0.60786575,0.24148715,0.40754616,0.33548337,0.39285025
beresok,0.46134928,0.1798478,0.42935574,0.36235785,0.37713674
beret,0.29313704,0.25987983,0.25834706,0.33230993,0.50888115
berewok,0.3617441,0.15739377,0.30191994,0.2895291,0.5126794
bergajul,0.45940182,0.2577067,0.37284577,0.37208933,0.58078897
bergas,0.3818707,0.2911675,0.3191188,0.37704647,0.5892941
berguk,0.39592853,0.19456914,0.33896956,0.32614112,0.4628326
berhala,0.45134258,0.22493479,0.43004465,0.5258452,0.5421469
beri,0.52495974,0.16795884,0.39488626,0.25157595,0.3561471
beri-beri,0.45396978,0.11331812,0.2881041,0.18048683,0.24011627
beriang,0.3840886,0.19802687,0.45606464,0.3289292,0.546198
beriani,0.5093509,0.14829965,0.43370515,0.26245517,0.4881061
berida,0.47285572,0.28130817,0.53134894,0.3424275,0.48171464
berik,0.6289511,0.23718849,0.4085023,0.39726448,0.49421197
beril,0.43301383,0.22715658,0.43598866,0.27152908,0.46125537
berilium,0.41797423,0.23111229,0.45189524,0.29438546,0.44120336
berinda,0.44510835,0.236664,0.44050032,0.29491103,0.5367646
bering-bering,0.33112574,0.08108609,0.2487773,0.1531323,0.31124684
beringas,0.3192689,0.16291146,0.3577576,0.32700345,0.5278356
beringin,0.32828802,0.23459111,0.38262418,0.3650822,0.67726696
beringsang,0.3121984,0.20879109,0.34469926,0.30895227,0.41521528
berisik,0.40257517,0.2797501,0.38399366,0.46873555,0.5550321
berita,0.50726444,0.30898076,0.3520512,0.36721635,0.3645137
beritawan,0.3989551,0.14481546,0.21352392,0.19088906,0.2684401
berkah,0.6002307,0.3005442,0.345621,0.34433544,0.3832606
berkas,0.49709553,0.24342445,0.27723306,0.23336759,0.28473452
berkat,0.48278463,0.18667167,0.23365694,0.25182194,0.19640008
berkelium,0.37335134,0.22379395,0.334199,0.3929677,0.5390784
berkik,0.3593089,0.30306542,0.33504343,0.48733416,0.6266844
berkil,0.36594355,0.26897675,0.43852735,0.4497266,0.54425055
berko,0.38725072,0.2663831,0.26748976,0.32341683,0.48627758
berkung,0.30028087,0.24530074,0.3188102,0.39952493,0.5592243
berlau,0.3343918,0.24086589,0.3508823,0.36586687,0.5526259
berlian,0.3512588,0.10358404,0.34054816,0.2242795,0.2987638
berma,0.535275,0.22463694,0.21216059,0.51631117,0.36253405
bermat,0.44249085,0.2458067,0.23752609,0.6091348,0.36079076
bermi,0.5093691,0.23465556,0.19640279,0.53983015,0.36362377
bernas,0.51019645,0.24089232,0.3556577,0.37432504,0.6496066
bernga,0.33362097,0.21616927,0.28684503,0.27880305,0.34849674
beroci,0.23322019,0.21490976,0.28894946,0.30579314,0.3328109
beroga,0.3286426,0.34434932,0.50410926,0.45270476,0.49182382
berok,0.3913681,0.22575757,0.41472158,0.36954284,0.54853165
berokat,0.31543827,0.18280628,0.5334518,0.3410161,0.4255129
beron,0.4794841,0.32199937,0.40384635,0.43019962,0.6024444
beronang,0.35461548,0.36220312,0.34787944,0.4408403,0.43484324
berondok,0.41386193,0.22932413,0.3935264,0.41413283,0.4322064
berondong,0.36817467,0.27102786,0.42653733,0.27860856,0.58570826
berong,0.2662142,0.31895286,0.31977147,0.389831,0.5995076
berongkos,0.43404946,0.29918194,0.36227506,0.3584222,0.5597234
berongsang,0.42978257,0.29609245,0.43259132,0.41968733,0.5027143
berongsong,0.2919218,0.155114,0.3271594,0.2807693,0.40456453
beronjong,0.27010995,0.2393642,0.22298399,0.24516028,0.615522
beronok,0.35010335,0.23750915,0.30556804,0.36099666,0.4491486
beronsang,0.44969475,0.29652703,0.4153505,0.47196162,0.5496234
berontak,0.37984923,0.16188927,0.32705778,0.2736175,0.40891933
berosot,0.34357014,0.1578153,0.29285085,0.25420627,0.53371596
beroti,0.39076984,0.35855868,0.50707567,0.3983459,0.50128376
beroya,0.3220335,0.2086361,0.4361936,0.28038904,0.48784828
bersat,0.37377954,0.24179071,0.35094327,0.4260915,0.5507449
bersih,0.44862634,0.20063299,0.36289772,0.20895971,0.3958744
bersil,0.34756622,0.23933718,0.37952173,0.42662713,0.5840677
bersin,0.38269228,0.25143677,0.41786566,0.3427604,0.44858855
bersit,0.31649935,0.22640064,0.31756634,0.39169046,0.55297863
bersut,0.36548513,0.20174365,0.40069902,0.40679735,0.5510396
bertam,0.46670914,0.2327461,0.3002829,0.38731834,0.6153999
bertih,0.49419308,0.23422818,0.35411048,0.31867707,0.59359324
beru,0.3862026,0.27729598,0.31971002,0.31463683,0.57856816
beruang,0.19840994,0.17134142,0.2763048,0.20789233,0.4319412
beruas,0.4350587,0.20036551,0.3702196,0.23144877,0.6561959
berubuh,0.31845027,0.28921503,0.33054695,0.41350323,0.5923297
berudu,0.21582432,0.25675407,0.34395462,0.28047684,0.45824113
berui,0.4466583,0.27210414,0.45312232,0.29135725,0.55926484
beruju,0.26136512,0.11430288,0.24062791,0.21630955,0.47614178
berujul,0.33384424,0.20872733,0.2792615,0.30426693,0.582797
beruk,0.3538901,0.28328317,0.4474666,0.34296614,0.5464577
berumbun,0.39665356,0.20618539,0.43735152,0.3417633,0.44592732
berumbung,0.37166446,0.3016876,0.52320707,0.40289825,0.67876375
berunai,0.49553758,0.24717326,0.353461,0.30522642,0.54837346
berunang,0.27432135,0.3157169,0.2325247,0.3861425,0.60547215
berungut,0.3339826,0.075346276,0.39309007,0.21251535,0.34573793
beruntus,0.28685272,0.17955351,0.39199466,0.2604977,0.3797355
beruri,0.41065323,0.2354528,0.5735985,0.42904857,0.5213567
berus,0.50804055,0.27474475,0.43685925,0.38337213,0.5816864
berwari,0.39036852,0.23703903,0.33261913,0.41133165,0.63640213
berzanji,0.47052008,0.26572987,0.36672837,0.50587416,0.48650527
besalen,0.40656158,0.23636666,0.33365303,0.2734524,0.51799315
besan,0.53750414,0.24074775,0.3748169,0.2710002,0.4820713
besar,0.5039447,0.2673518,0.36315796,0.34511653,0.53117526
besaran,0.54192877,0.23057339,0.32571602,0.32838637,0.3697529
besek,0.5454397,0.3031091,0.4593375,0.291301,0.5026094
besel,0.4969198,0.3330431,0.4218737,0.34146363,0.47549623
besengek,0.40523443,0.26714075,0.3762867,0.27413926,0.49109164
beser,0.42721528,0.30732954,0.41361228,0.3400799,0.5545797
besero,0.42321244,0.30256385,0.33007318,0.28385717,0.46132377
beset,0.45250282,0.299948,0.3911851,0.36641735,0.56188715
besi,0.25633642,0.16962853,0.27334055,0.20635611,0.30600917
besikal,0.44196385,0.2416715,0.22396843,0.38605398,0.33183533
besing,0.23807092,0.2027906,0.21458504,0.33569655,0.38220257
besit,0.26227978,0.1886193,0.21369782,0.27571708,0.36469412
beskal,0.5515603,0.32312047,0.39361095,0.36334124,0.47735068
beskap,0.52192575,0.36984378,0.45438278,0.4051365,0.51792914
beskat,0.5931796,0.35382205,0.44329786,0.42510438,0.4846661
beslah,0.55584574,0.23175976,0.40966874,0.27300584,0.4358612
beslit,0.5291172,0.22642222,0.43945938,0.2780012,0.5181689
besok,0.32336414,0.22123821,0.17218192,0.38776743,0.19280568
besot,0.5017278,0.30103052,0.41917223,0.35124928,0.5573635
bestari,0.46112782,0.22008193,0.384493,0.29744795,0.42102194
bestek,0.5747024,0.20993991,0.46903718,0.30296898,0.45847
bestel,0.49227855,0.2500164,0.43925983,0.3530499,0.4393198
bestialitas,0.5423647,0.1499,0.23991904,0.2564941,0.32419473
bestik,0.52534056,0.2551619,0.43995637,0.3803253,0.6023562
bestir,0.50916475,0.22709581,0.41658777,0.36977977,0.52991986
bestral,0.506576,0.1399711,0.44289127,0.307702,0.471978
besuk,0.46682286,0.3165123,0.51351213,0.33268592,0.49674496
besusu,0.44859254,0.2832387,0.4310387,0.3198654,0.5711464
besut,0.49398765,0.2714796,0.48962831,0.35497105,0.5354791
besuta,0.4197463,0.21376765,0.4121545,0.28339756,0.42882788
bet,0.5811056,0.28901857,0.403845,0.43651432,0.55007565
beta,0.56156206,0.2228427,0.42009097,0.26914418,0.3701545
betah,0.5588223,0.2590369,0.3468318,0.388222,0.4968862
betahak,0.4305457,0.23640615,0.3999632,0.39706227,0.5865748
betak-betak,0.32938388,0.14914635,0.34546074,0.20424893,0.2773841
betang,0.3598706,0.2609455,0.39380336,0.42788246,0.48117027
betapa,0.5587734,0.20302096,0.401669,0.33424985,0.5057623
betara,0.354614,0.17295898,0.40778005,0.2706955,0.3697293
betari,0.4566967,0.20507061,0.45200992,0.34869003,0.45332822
betas,0.55140984,0.20367879,0.35244656,0.2507518,0.3067668
betatas,0.4939519,0.18489686,0.4554587,0.2997108,0.41624287
betatron,0.2728725,0.11607024,0.3083377,0.11965115,0.1851339
betau,0.33161294,0.16755778,0.3624767,0.25137946,0.39056057
betet,0.38560134,0.29603595,0.32426792,0.45731473,0.5462998
beti,0.4559852,0.27413255,0.3620422,0.3586542,0.53206575
beti-beti,0.37355515,0.24158227,0.26263735,0.2817503,0.42067325
betik,0.4197468,0.30124927,0.3538614,0.45024693,0.6162166
betina,0.24768808,0.30249673,0.28937158,0.25103262,0.33397302
beting,0.4087913,0.31853408,0.34426576,0.49688464,0.569093
betinga,0.29615843,0.2221415,0.25510526,0.2119121,0.54735637
betis,0.35320598,0.18319714,0.29848462,0.23524597,0.42606926
betok,0.4505682,0.15827638,0.39780867,0.34668845,0.47058433
beton,0.24869111,0.2090093,0.3214284,0.20975119,0.4652636
betonisasi,0.27472407,0.22448611,0.22999012,0.25084668,0.47583503
betot,0.44186157,0.27480945,0.366786,0.4662603,0.55127484
betul,0.4371431,0.12984541,0.28095183,0.16417596,0.31372708
betung,0.32538068,0.23668192,0.3366866,0.38393515,0.5590878
betutu,0.33803022,0.1698547,0.44350004,0.30416268,0.4279612
bewok,0.30581772,0.14012733,0.3713156,0.18868482,0.33734897
bhayangkara,0.6401682,0.24385494,0.2436727,0.37276173,0.2932189
bi,0.5888915,0.275634,0.3834506,0.2906078,0.4110309
bi-,0.5541509,0.23744038,0.34765854,0.2351136,0.35286236
biadab,0.44168085,0.22101809,0.3386243,0.33080655,0.5455047
biadat,0.42794484,0.20075317,0.45477772,0.31088197,0.5024408
biadi,0.5263851,0.21251927,0.4311285,0.32508934,0.57142615
biah,0.5056983,0.15905133,0.38206953,0.28530037,0.4815801
biak,0.61322016,0.22523193,0.47356123,0.3314758,0.5924676
biang,0.42897975,0.27635834,0.38192648,0.37357706,0.5739114
bianglala,0.25288677,0.17622901,0.19917467,0.27109975,0.44080603
biaperi,0.50854796,0.2805062,0.52882147,0.4243099,0.59166956
biar,0.46602067,0.10928714,0.25114036,0.16919106,0.25117365
biar-biar,0.39396882,0.09776389,0.18536255,0.12217882,0.20495555
biara,0.28261822,0.15397274,0.22885174,0.28368622,0.35487187
biarawan,0.1506532,0.07918963,0.07672631,0.15543702,0.151656
biarawati,0.17506608,0.18350367,0.11580832,0.2013391,0.20147845
biarpet,0.47179767,0.1264747,0.29284656,0.30432338,0.35406134
biarpun,0.5034844,0.21043669,0.283618,0.2679932,0.37157407
bias,0.58471906,0.22133224,0.29111838,0.42276165,0.54381776
biasa,0.53655684,0.22601537,0.35151225,0.3698582,0.41927594
biat,0.4878416,0.20295192,0.3771339,0.3312845,0.5259603
biau,0.3784876,0.17730834,0.3552397,0.3030114,0.5215398
biawak,0.28293753,0.15010057,0.34062058,0.21960607,0.47958553
biawan,0.44231343,0.16979973,0.36264485,0.261159,0.5340097
biawas,0.38110393,0.11501378,0.37306556,0.27325284,0.49586707
biaya,0.53615093,0.26864284,0.28117764,0.26264903,0.28264534
bibel,0.42359388,0.26880035,0.3754635,0.35610113,0.3767715
bibi,0.2750186,0.5418626,0.29536495,0.19342339,0.2593184
bibinda,0.224084,0.4171357,0.2856648,0.13357642,0.22849485
bibir,0.2353532,0.19019094,0.44910306,0.31064075,0.37591326
bibit,0.3905737,0.28324652,0.39657244,0.1606655,0.56520534
biblio,0.36446047,0.21289013,0.3209583,0.23677266,0.4131662
bibliografi,0.33687937,0.20709236,0.20509973,0.25086886,0.26572812
bibliomania,0.39957994,0.20710804,0.31826028,0.29626697,0.35685804
bibliotek,0.46762663,0.23298202,0.38202155,0.2764755,0.38022995
bicana,0.39210927,0.21432084,0.38138497,0.32687834,0.6748556
bicara,0.45797166,0.23370034,0.31166673,0.29109097,0.37062824
bicokok,0.42075795,0.1982598,0.42789027,0.37573478,0.49269843
bicu,0.41033384,0.21135557,0.3809144,0.3497923,0.59866536
bicu-bicu,0.3339137,0.14281282,0.32222465,0.25213963,0.4650216
bida,0.5449032,0.17277482,0.46383482,0.3468809,0.4268524
bidadari,0.26051563,0.3543037,0.31416982,0.33980685,0.45030388
bidah,0.5797679,0.16604277,0.44824708,0.3945865,0.5086355
bidai,0.28880918,0.16981222,0.5080524,0.357267,0.42286438
bidak,0.3021008,0.14206842,0.4644171,0.40247667,0.3969078
bidal,0.5026014,0.148215,0.41947466,0.42445037,0.3878441
bidan,0.459198,0.48644125,0.3658077,0.26152623,0.33820722
bidang,0.6246496,0.21879497,0.37025228,0.2701078,0.5639958
bidar,0.36241937,0.14877741,0.432863,0.47408968,0.52215016
bidara,0.23881528,0.102685094,0.36645514,0.33035752,0.43398982
bidari,0.34624612,0.15591723,0.40885663,0.30096883,0.48856488
bidas,0.4885515,0.19126505,0.44962916,0.37583554,0.38382638
bidet,0.33445466,0.17123255,0.45680502,0.4113744,0.45266044
bidik,0.41294962,0.06820978,0.2829478,0.22212008,0.30329788
bido,0.42544973,0.20586754,0.43708068,0.3443498,0.4931643
biduan,0.39864492,0.20433563,0.4373733,0.3956141,0.37885773
biduanda,0.35969096,0.21321128,0.45141214,0.3183303,0.39428782
biduanita,0.2464633,0.13708743,0.30556226,0.1919496,0.26884446
biduk,0.3272,0.19290638,0.5541758,0.4096309,0.41396117
bidur,0.43584913,0.13707502,0.47316074,0.42036015,0.41499063
biduri,0.42529228,0.15567277,0.5439536,0.36665303,0.3685818
bienial,0.50996965,0.19967422,0.32036442,0.31144887,0.4600737
biennale,0.47379887,0.25964224,0.37318563,0.3890235,0.52235955
bifasial,0.5119133,0.28770125,0.3062064,0.35217744,0.5092012
bifida,0.5119887,0.29883075,0.51139796,0.3947018,0.514751
bigair,0.36989754,0.20634696,0.29220408,0.29289013,0.45993042
bigami,0.26657307,0.13914014,0.3030234,0.18688771,0.44936264
bigamis,0.4379418,0.20875779,0.29958585,0.2996772,0.5849366
bihi,0.5555788,0.19356936,0.48142275,0.28493622,0.399414
bihun,0.44080064,0.17754686,0.60582125,0.34503946,0.34883255
bija,0.31688845,0.081334874,0.3232711,0.119180635,0.37444115
bijak,0.4655019,0.10466087,0.22593522,0.14414263,0.26985234
bijaksana,0.48363394,0.16198516,0.32236987,0.18816894,0.33412665
bijaksanawan,0.3414521,0.062100634,0.15375257,0.09235986,0.281111
bijan,0.31987074,0.047678456,0.30615115,0.111878864,0.35003942
bijana,0.2895195,0.09051887,0.32723218,0.10727365,0.40755987
biji,0.47817037,0.29396683,0.6049534,0.3461005,0.6229553
bijih,0.47471648,0.20419735,0.47936738,0.27822724,0.53031135
bik,0.5310262,0.19559422,0.43909377,0.3493258,0.46690935
bikameral,0.32662642,0.12949605,0.30032945,0.38361096,0.28962088
bikang,0.33292937,0.16113219,0.4111413,0.42965814,0.36327446
bikarbonat,0.3566388,0.12634107,0.42529643,0.3526281,0.5316138
bikin,0.55216634,0.2196919,0.44836092,0.3257356,0.47083777
bikini,0.29251024,0.15627998,0.39056212,0.23907055,0.29218572
bikir,0.43692228,0.21831933,0.38690007,0.48689663,0.45048845
bikonkaf,0.47241843,0.15521392,0.30481815,0.37240005,0.31276098
bikonveks,0.51526284,0.21551818,0.37461773,0.43256837,0.3989485
bikromat,0.49730432,0.23214832,0.3854473,0.5171385,0.48970622
biksah,0.40360743,0.17964563,0.4822786,0.40181944,0.40583852
biksu,0.21297193,0.08637908,0.3147303,0.28079224,0.27941692
biksuni,0.25276554,0.0741066,0.22484156,0.25836095,0.25551954
biku,0.266216,0.15447772,0.31882256,0.31385455,0.35224086
bila,0.4250636,0.1245314,0.20414576,0.2085619,0.2613799
bilabial,0.22979337,0.1320791,0.06796768,0.13254346,0.35509396
bilah,0.24850361,0.1220631,0.36199263,0.29558176,0.3594972
bilai,0.3397015,0.16629627,0.22196333,0.2679793,0.4225147
bilakmata,0.11635952,0.06113375,0.051720157,0.066421315,0.27076605
bilal,0.2011821,0.10160051,0.08294452,0.14434205,0.22535253
bilamana,0.5401033,0.16357687,0.27451712,0.30656233,0.3391617
bilamasa,0.3437006,0.16010267,0.27486,0.27915162,0.44478476
bilang,0.45101076,0.17632289,0.2574496,0.16482806,0.25951385
bilang-bilang,0.40416473,0.1479837,0.21022485,0.12507302,0.20111632
bilas,0.32056913,0.117048055,0.30712992,0.1992273,0.3360344
bilateral,0.5650713,0.31102994,0.33358765,0.35462427,0.4230053
bilateralisme,0.43148872,0.15266271,0.19661191,0.25032634,0.29480815
bilga,0.17828086,0.13826409,0.050452016,0.12481353,0.25564313
bilhak,0.329438,0.16275373,0.23481281,0.26283014,0.4627996
biliar,0.32139093,0.15465388,0.15730269,0.22213754,0.27377763
bilik,0.3419168,0.23572454,0.33992505,0.29338276,0.38886788
bilineal,0.397337,0.14220898,0.24163611,0.23031433,0.34842142
bilingual,0.547379,0.25138262,0.20672067,0.26096812,0.39727628
bilingualisme,0.5128455,0.13085505,0.1370933,0.24330388,0.33134127
bilis,0.23112547,0.100340314,0.079437524,0.17984521,0.2726093
biliun,0.29823434,0.14299697,0.23774067,0.36125714,0.43258125
billahi,0.4715302,0.23360446,0.31531465,0.28943652,0.44949162
bilokal,0.33356637,0.15633503,0.25295413,0.19715884,0.4391666
bilur,0.40970004,0.19112271,0.24974969,0.3325729,0.443592
bilyet,0.34947044,0.16209598,0.32019264,0.27672297,0.29845804
bimasakti,0.2093179,0.0828176,0.19440463,0.14382882,0.27317044
bimbang,0.32429683,0.048961416,0.17868572,0.17096087,0.20199189
bimbing,0.4873342,0.32599777,0.22259766,0.31884378,0.40850335
bimbit,0.5132636,0.30986303,0.2306984,0.35117146,0.39030218
bimetal,0.3591763,0.17459425,0.29968464,0.37633643,0.49419186
bin,0.6124285,0.27753988,0.44008362,0.3652646,0.54818434
bina,0.72457314,0.31974858,0.35213768,0.34600216,0.507859
binal,0.50607586,0.25141072,0.35665298,0.29811412,0.58420444
binar,0.47544637,0.26054472,0.33633155,0.31252074,0.5760129
binara,0.432885,0.16418049,0.2783298,0.23423079,0.4344527
binaraga,0.37611705,0.16637161,0.28678185,0.27990663,0.31851402
binaragawan,0.37441015,0.12229546,0.19395521,0.2058213,0.32858977
binasa,0.5807502,0.18178535,0.35343054,0.31408966,0.357938
binatak,0.42866793,0.15144932,0.2939974,0.2108751,0.49827558
binatang,0.23278332,0.12330105,0.41431034,0.20340276,0.42185467
binatu,0.4703959,0.23075196,0.24484158,0.23598915,0.53635305
binawah,0.5355363,0.18261814,0.20497528,0.2690247,0.39952767
binayah,0.6154829,0.3153135,0.3742686,0.39941323,0.5762066
bincacak,0.278827,0.17132257,0.53844,0.36332127,0.3913942
bincang,0.45636123,0.28668156,0.40691775,0.56907725,0.53816324
bincang-bincut,0.4071438,0.22568092,0.35806096,0.47467732,0.47322226
bincu,0.44914675,0.21029192,0.33027506,0.38987488,0.52589625
bincul,0.5703954,0.27276713,0.3817684,0.41642746,0.569165
bincut,0.2738654,0.12773287,0.21832585,0.31029797,0.3591703
bindam,0.29258287,0.10515091,0.1560991,0.22703117,0.24876177
bindeng,0.41056365,0.38141334,0.43101066,0.5200757,0.61524284
binder,0.40579858,0.2510323,0.27403668,0.38305336,0.4580359
bindu,0.4125677,0.22692448,0.35725856,0.38097197,0.47105855
bineka,0.44056413,0.22026664,0.32538104,0.27992678,0.3849104
binen,0.43938777,0.3440315,0.40734068,0.51723623,0.52988565
biner,0.5016837,0.15933095,0.40587264,0.28831393,0.43232334
bingas,0.45456713,0.15445796,0.32041287,0.22243363,0.4597929
bingit,0.4440257,0.12699625,0.36910272,0.284971,0.47319633
bingka,0.4981498,0.2493245,0.52851504,0.44052297,0.46488893
bingkah,0.4896302,0.2907822,0.58037126,0.5070424,0.50399005
bingkai,0.43555325,0.2585063,0.3479703,0.3231619,0.50692934
bingkas,0.53863406,0.28688568,0.5261097,0.49250796,0.3731905
bingkatak,0.38009018,0.22960751,0.48630625,0.4321467,0.55044794
bingkis,0.4207672,0.2418198,0.52395815,0.48410624,0.45474714
bingung,0.41055423,0.1128461,0.29791057,0.21041,0.36122736
bini,0.5340972,0.28949857,0.3848098,0.36681417,0.53523755
binjai,0.38972008,0.17423622,0.32675004,0.30070758,0.62852705
binjat,0.43048343,0.2613485,0.30950528,0.41232532,0.5569165
binokular,0.23327819,0.08015176,0.17611288,0.21307336,0.4721201
binomial,0.44753373,0.2057705,0.29717898,0.38299364,0.38823706
bintak,0.388459,0.2242682,0.34775668,0.3080218,0.45559508
bintal,0.498227,0.26125827,0.35843062,0.36121947,0.5200831
bintalak,0.45733654,0.18144399,0.40720147,0.35904324,0.54467595
bintan,0.32328397,0.21913777,0.24643542,0.28177187,0.53176284
bintang,0.32990652,0.19612755,0.25984585,0.3875997,0.46189147
bintara,0.4984884,0.25012642,0.20162794,0.30441862,0.2829852
binti,0.53529036,0.42061198,0.4664857,0.38991487,0.5745213
bintik,0.3963343,0.25749892,0.43215,0.42302606,0.6188781
bintil,0.36398926,0.28628188,0.41273808,0.29257208,0.4924665
bintit,0.42431933,0.23518512,0.3898061,0.32008904,0.51407707
bintul,0.43287885,0.18386704,0.37285978,0.25101104,0.46100652
bintulbahar,0.28098804,0.068472095,0.14107274,0.17515333,0.26730096
bintur,0.49245262,0.21334645,0.37199235,0.33699602,0.4962852
binturung,0.32835424,0.16104512,0.3170361,0.1760481,0.40994805
bio-,0.56439245,0.20322222,0.3659743,0.20602605,0.4593119
biodata,0.5443255,0.3090298,0.33721733,0.27820262,0.36540234
biodin,0.47112143,0.15384004,0.41374016,0.29408628,0.5342893
biofera,0.45904204,0.24003941,0.43378907,0.26800573,0.63199055
biofilm,0.43287665,0.2497851,0.22132678,0.30706578,0.5139929
biofilter,0.41132283,0.23200935,0.32152718,0.24275291,0.590652
biofisik,0.46773857,0.20023566,0.41127968,0.2373288,0.6610242
biofisika,0.45940024,0.1424419,0.23502855,0.21269158,0.43734628
biogas,0.4565494,0.18755537,0.4804461,0.24944252,0.47510654
biogenesis,0.50814533,0.20609242,0.24896759,0.24534388,0.32077086
biogenik,0.6078161,0.28326187,0.35393098,0.3204804,0.44980285
biogeografi,0.4443706,0.279021,0.25254288,0.3085206,0.43796906
biografi,0.47650462,0.21332878,0.20971248,0.17986697,0.243725
biokimia,0.5063031,0.21941584,0.5158135,0.24822697,0.4161877
