indeks,pendidikan,keluarga,makanan,perayaan,alam
abstain,0.50465095,0.21366751,0.3051328,0.422096,0.37106535
abstinensi,0.43123496,0.13403687,0.18247715,0.3051637,0.26555574
abstrak,0.6399138,0.2408518,0.34809667,0.26871496,0.5037825
abstraksi,0.5136119,0.14389151,0.23196217,0.18620214,0.3106376
absurd,0.36929268,0.115708254,0.26530397,0.27033752,0.31883454
absurdisme,0.36345637,0.08910848,0.17655927,0.24540955,0.25256243
abtar,0.5156536,0.28426248,0.4353677,0.4989298,0.584669
abu,0.5218593,0.25281805,0.4640875,0.3509606,0.52876556
abu-abu,0.45307842,0.16116387,0.3943678,0.255552,0.4273186
abuan,0.48193976,0.12723175,0.38862717,0.30725294,0.47650033
abuh,0.5051075,0.15970835,0.40025848,0.29575294,0.46580195
abuk,0.52434874,0.21752144,0.43526113,0.34116283,0.5030885
abuk-abuk,0.48092777,0.13520655,0.36493227,0.23643667,0.39468396
abul,0.49160576,0.22039144,0.42736608,0.33340716,0.5249644
abulhayat,0.3729688,0.14180154,0.27298903,0.2836461,0.44928345
abulia,0.39304668,0.16914162,0.38385522,0.27514717,0.4760957
abun-abun,0.4234963,0.12564471,0.3480791,0.23079067,0.38321424
abur,0.48330685,0.21771306,0.4019015,0.33867204,0.5167737
abus,0.5675858,0.24086636,0.44487643,0.34021306,0.51254493
abyad,0.5159484,0.25858662,0.4041481,0.38824594,0.5859348
acah,0.42973125,0.3150416,0.40158764,0.5059545,0.5762213
acak,0.5596577,0.29367,0.40490377,0.39440918,0.49504936
acak-acakan,0.29166892,0.112246476,0.19341263,0.16683055,0.21444197
acala,0.37518808,0.25229767,0.41758895,0.4094114,0.5794308
acan,0.3768454,0.16372658,0.29511678,0.29905555,0.5038878
acang,0.3345167,0.25903702,0.33884358,0.45010585,0.5063475
acang-acang,0.34182933,0.2173204,0.34708345,0.3668283,0.42639938
acap,0.49062946,0.16024205,0.18035798,0.29787272,0.30654478
acar,0.31537187,0.24272507,0.32663575,0.46921858,0.56090635
acara,0.45904136,0.37276366,0.33771902,0.81439775,0.49700516
acaram,0.5791706,0.3240903,0.3360122,0.6576094,0.48903865
acat,0.4013049,0.26889396,0.3968648,0.5060111,0.53475666
acau,0.2971037,0.25741896,0.44624677,0.4402998,0.5289458
acawi,0.40857428,0.2530787,0.37783334,0.33275858,0.585963
acerang,0.4206396,0.23632574,0.3911386,0.30556697,0.4727183
aci,0.42693448,0.26268172,0.354684,0.36846173,0.5306095
aci-aci,0.42849115,0.19135208,0.29369572,0.24891287,0.3975345
acik,0.4382857,0.2953328,0.36751264,0.5082708,0.6179385
aco,0.565651,0.23836297,0.38544205,0.37978476,0.6319736
aco-acoan,0.29382265,0.043682404,0.16392042,0.10190821,0.40136665
acu,0.30569324,0.23951429,0.3033973,0.3196014,0.49512792
acuh,0.52962565,0.1285431,0.3571261,0.2727582,0.4021533
acum,0.47466314,0.2969799,0.3773647,0.41429088,0.47067338
acung,0.33362937,0.26797277,0.3001019,0.4590038,0.5331831
ad,0.5874964,0.29831594,0.40935358,0.4516539,0.5996146
ada,0.3057065,0.35319322,0.3743011,0.4400708,0.5926051
adab,0.7570733,0.341015,0.44682896,0.5210978,0.5147917
adad,0.48794538,0.3065567,0.4777484,0.4194768,0.63733304
adagio,0.14589804,0.24390042,0.17833476,0.1404715,0.24046904
adagium,0.375967,0.40442395,0.4029741,0.4635507,0.56825763
adakala,0.5300697,0.2364121,0.4124853,0.40217784,0.5646267
adakalanya,0.44697177,0.17635772,0.20227623,0.28443503,0.34233966
adakan,0.637395,0.23975396,0.4102034,0.47470558,0.43013766
adaks,0.61140364,0.2678781,0.38108563,0.4212667,0.525033
adaktil,0.54110444,0.30204907,0.41569537,0.48704866,0.6137755
adalah,0.62042934,0.24593875,0.4454623,0.38312608,0.5339679
adalat,0.44354805,0.26959044,0.4744751,0.45211565,0.65487117
adam,0.38961667,0.1374975,0.23232788,0.1620111,0.34864065
adan,0.4394123,0.30150446,0.44738927,0.48004353,0.63650733
adang,0.3017419,0.26458108,0.34717816,0.42742336,0.57443523
adang-adang,0.27562743,0.27976534,0.3294127,0.42964745,0.5892459
adap,0.6509328,0.2870416,0.39709476,0.3485322,0.5055262
adaptabel,0.55052596,0.2308026,0.2642159,0.30405116,0.39975232
adaptabilitas,0.51024383,0.17887199,0.1637994,0.21029818,0.2610713
adaptasi,0.61514795,0.21353951,0.27866566,0.23510037,0.2656105
adaptif,0.5745833,0.22225091,0.24335617,0.33314067,0.32211488
adaptometer,0.40257347,0.18021901,0.19935402,0.24569398,0.374623
adaptor,0.35638928,0.20811784,0.15868315,0.11107462,0.29415745
adapun,0.64309263,0.24278188,0.37814897,0.32348445,0.41157922
adar,0.34964174,0.2784155,0.37947243,0.39482856,0.5812841
adas,0.3913802,0.34972793,0.43095204,0.4685868,0.6374992
adat,0.6083086,0.4640188,0.39556745,0.6374682,0.48423672
adati,0.55201024,0.3351925,0.36100155,0.48717073,0.48044538
adegan,0.4008504,0.37784952,0.37639716,0.60553604,0.59252864
adeh,0.43274,0.23139133,0.329803,0.27430993,0.48922044
adekuat,0.57568693,0.26152828,0.39842236,0.29457146,0.44195008
adem,0.47763985,0.24349977,0.39292982,0.3483836,0.66737545
adempauze,0.41944584,0.13769399,0.23763774,0.18347119,0.4013421
adendum,0.21144561,0.10480202,0.24550194,0.1661031,0.3137865
adenoid,0.21009454,0.13202727,0.31401402,0.21996176,0.39501017
adenoma,0.16613376,0.11865379,0.3491403,0.21014261,0.35221565
adenosis,0.1761487,0.1163995,0.25432122,0.22268182,0.32503104
adhesi,0.5788126,0.27298823,0.36276138,0.39751804,0.48986828
adhesif,0.522369,0.25783813,0.33631408,0.32379055,0.47211492
adi,0.6013506,0.2771507,0.38815993,0.26336297,0.53217775
adiabatik,0.48533344,0.2443589,0.28949976,0.3115164,0.5739366
adiabatis,0.44817084,0.20137292,0.27600682,0.29872742,0.49647015
adiaktinik,0.5199105,0.28331998,0.29861444,0.33944613,0.6128725
adib,0.5721357,0.2627809,0.3550067,0.28453103,0.5248252
adibangkit,0.3446558,0.12523636,0.17673719,0.20190316,0.42960382
adibintang,0.35650048,0.21141729,0.22567886,0.23486076,0.44089866
adiboga,0.26556084,0.22834976,0.18231378,0.18297862,0.45719415
adibusana,0.31908342,0.19460976,0.21493457,0.15184033,0.44511038
adicita,0.38407162,0.19123499,0.22901076,0.20530051,0.4641506
adidaya,0.31880444,0.107583344,0.18832922,0.09319529,0.34601676
adigang,0.4483744,0.38125172,0.37420306,0.4188038,0.64109427
adiguna,0.40219837,0.19957185,0.1945838,0.14344004,0.47806358
adigung,0.4540758,0.21417803,0.35514623,0.2530147,0.59728265
adik,0.42064035,0.5877484,0.22682439,0.23928612,0.3328899
adika,0.45800447,0.4265999,0.20273402,0.19558132,0.31004065
adikara,0.4070512,0.3380871,0.24084759,0.33857888,0.48109293
adikarya,0.4812644,0.40665147,0.21641272,0.29726106,0.40474805
adikodrati,0.54466087,0.30151233,0.14804527,0.3458306,0.39458483
adikong,0.48008955,0.37819958,0.26020113,0.37887684,0.52001333
adiksi,0.5599493,0.41189012,0.24831632,0.3701399,0.43611896
adiktif,0.5466738,0.24583642,0.59048545,0.46337146,0.49849933
adikuasa,0.4725203,0.45506972,0.24850422,0.29798907,0.32524455
adil,0.67264766,0.26413015,0.41550106,0.40203685,0.43660367
adiluhung,0.4558286,0.2753561,0.2512337,0.356395,0.5151431
adimarga,0.29632884,0.23029567,0.13696201,0.16037282,0.3949278
adinda,0.36971247,0.27731758,0.33114505,0.2392846,0.48669714
ading,0.46176916,0.31213033,0.36920512,0.35941702,0.559293
adipati,0.2320922,0.1517739,0.09321891,0.13945729,0.19739535
adipenghantar,0.30647904,0.17156072,0.3150072,0.35679835,0.3652737
adiposa,0.5006833,0.21117541,0.42872846,0.34458172,0.3884675
adipositas,0.56608653,0.21130957,0.30100632,0.37338895,0.33892918
adipura,0.45460245,0.19120151,0.2696909,0.3729747,0.3455258
adiraja,0.4483837,0.13005394,0.20986333,0.13525906,0.29714042
adiratna,0.386799,0.10356225,0.1938071,0.084349096,0.28726646
adisi,0.592484,0.31245565,0.39328575,0.39428297,0.5790844
adisional,0.5920012,0.2172676,0.35296565,0.33391008,0.5088743
adisiswa,0.59610164,0.18497613,0.14427853,0.21163267,0.45292544
aditif,0.6020014,0.2502501,0.6298636,0.38603443,0.45134816
aditokoh,0.5053773,0.21937874,0.36593163,0.25148225,0.46520716
adiwangsa,0.21291679,0.12393293,0.1974808,0.13608824,0.43078303
adiwarna,0.36502755,0.2753396,0.39292628,0.29954425,0.5892018
adiwidia,0.49249223,0.26269695,0.33997872,0.24734353,0.4994197
adjektif,0.566864,0.22072813,0.32334226,0.34742028,0.32894486
adjektiva,0.4971736,0.13081922,0.29215568,0.29528946,0.26535434
adjektival,0.5560963,0.20698524,0.28105378,0.39233464,0.40717393
adjuvan,0.29301995,0.13857098,0.0672826,0.19649535,0.24943595
administrasi,0.59785116,0.2524155,0.28326553,0.2951715,0.25839713
administratif,0.659958,0.28787202,0.37721086,0.34963214,0.3345529
administrator,0.5262122,0.23711783,0.24587053,0.23501742,0.23417117
admiral,0.49654502,0.25399905,0.3440534,0.37858474,0.5560555
admisi,0.6021757,0.31337884,0.34625232,0.46874952,0.56213844
admitans,0.59439397,0.2181079,0.32251537,0.4146878,0.51922107
adnan,0.42634004,0.1815656,0.3008628,0.35322613,0.4524911
adolesens,0.4505129,0.23015255,0.35244104,0.4856282,0.526401
adon,0.5243586,0.24043623,0.3533935,0.46636653,0.5368271
adopsi,0.64816225,0.36072838,0.4048425,0.26861656,0.37633026
adoptif,0.49174747,0.25970975,0.31672415,0.5420648,0.48479906
adpertensi,0.5945965,0.28784913,0.31625062,0.5407661,0.43663764
adrenal,0.3559035,0.14386004,0.36453366,0.26068956,0.34868062
adrenalin,0.3454675,0.14080426,0.25099438,0.3949812,0.4315635
adrenergik,0.2189812,0.04979647,0.31084615,0.1118402,0.22432283
adres,0.23068278,0.06109821,0.1819917,0.119082235,0.13650957
adsorben,0.4236527,0.19846427,0.3087204,0.34407103,0.5413732
adsorpi,0.4553765,0.18287188,0.27414727,0.28020808,0.46510622
adsorpsi,0.476951,0.2020216,0.3148535,0.31832245,0.451999
adstringen,0.50447464,0.20716938,0.3075474,0.27011538,0.47186127
adu,0.3978322,0.21477221,0.2949853,0.4159605,0.3992581
aduh,0.46377492,0.13860331,0.32534486,0.20159478,0.33844674
aduhai,0.4133305,0.14645776,0.3438556,0.1850518,0.3358405
aduk,0.4273327,0.12930073,0.3941335,0.21737348,0.27338767
aduksi,0.53412604,0.2661905,0.4332863,0.38148963,0.4230863
aduktor,0.4212832,0.24145451,0.4294117,0.35973966,0.44185
adun,0.34960735,0.087331474,0.3036155,0.28929582,0.36900657
adveksi,0.6403135,0.28159422,0.32121783,0.38754925,0.3400889
adven,0.6680974,0.25806704,0.33960712,0.40310138,0.3623416
adventisia,0.6062385,0.21280251,0.2896089,0.4012013,0.32257032
adventisius,0.6200192,0.28109652,0.34365508,0.47985932,0.41955346
adverbia,0.62068623,0.24177025,0.35146666,0.4625377,0.4251104
adverbial,0.59381914,0.22522934,0.28079545,0.43174282,0.3870985
advertensi,0.59054935,0.27766028,0.2744026,0.46089357,0.33615005
advis,0.64555717,0.20978102,0.30969054,0.35593224,0.3330102
advokad,0.62057185,0.24815017,0.3465271,0.38434678,0.38071603
advokasi,0.67019475,0.19450858,0.30813468,0.320812,0.32125732
advokat,0.62617743,0.2363601,0.26153216,0.32666978,0.34014386
aerasi,0.39368314,0.27453238,0.25366604,0.2822942,0.5744697
aerator,0.32239377,0.2228165,0.19740015,0.17015216,0.45199507
aerob,0.38029385,0.21775723,0.3205728,0.28618687,0.5465722
aerobatik,0.27331638,0.19489905,0.2033143,0.27926105,0.46119753
aerobik,0.4261658,0.19368759,0.2603679,0.310015,0.41962337
aerobika,0.42023498,0.16528803,0.24900395,0.28880757,0.42658126
aerodinamik,0.40364403,0.21983835,0.14566426,0.17626971,0.45380232
aerodinamika,0.33499083,0.20334738,0.15451315,0.16897035,0.42074966
aerofisika,0.2922016,0.16086048,0.1198277,0.08353938,0.44660074
aerofisiologi,0.45097914,0.22691566,0.11938292,0.15296228,0.46700373
aerofon,0.25944614,0.18481997,0.23230878,0.2884417,0.28499165
aerogram,0.30428708,0.2351587,0.17731103,0.13426033,0.34515893
aerolit,0.38375637,0.18251577,0.29290032,0.19580965,0.5709506
aerologi,0.4887337,0.23317023,0.15192035,0.19538459,0.5246552
aerometer,0.2699252,0.15298218,0.110154286,0.06979857,0.32228598
aeromovel,0.27769768,0.17650005,0.1349756,0.13588992,0.3515206
aeronautika,0.3762833,0.20046319,0.1904258,0.190593,0.43161303
aeroplangton,0.223046,0.17048548,0.0639911,0.09786819,0.43255764
aeroplankton,0.1535559,0.12233443,0.16731039,0.0748574,0.37041155
aeroskop,0.30612302,0.28688085,0.23187765,0.27841437,0.41477805
aerosol,0.44706044,0.25413278,0.33598882,0.2782554,0.65371376
aerostat,0.37613645,0.24260178,0.24178039,0.2662897,0.48809814
aerostatika,0.5493299,0.2478074,0.30502012,0.31793487,0.49152613
aestetika,0.54745996,0.22440891,0.33943427,0.34929112,0.4396649
afair,0.60630107,0.3091333,0.40987587,0.4485228,0.5985998
afal,0.60898185,0.30947542,0.38370514,0.4331096,0.51681787
